Semana	Fecha	Ventas (Kg)								
1	6-Ene	450								
2	13-Ene	380								
3	20-Ene	420								
4	27-Ene	350								
5	3-Feb	480								
6	10-Feb	400								
7	17-Feb	460								
8	24-Feb	380								
9	3-Mar	520								
10	10-Mar	440								
11	17-Mar	490								
12	24-Mar	420								
13	31-Mar	560								
14	7-Abr	480								
15	14-Abr	540								
16	21-Abr	460								
17	28-Abr	620								
18	5-May	520								
19	12-May	580								
20	19-May	500								
21	26-May	680								
22	2-Jun	560								
23	9-Jun	630								
24	16-Jun	540								
25	23-Jun	720								
26	30-Jun	600								
27	7-Jul	670								
28	14-Jul	580								
29	21-Jul	750								
30	28-Jul	620								
31	4-Ago	700								
32	11-Ago	600								
